name,latitude_deg,longitude_deg,iso_country
Queen Beatrix International Airport,12.5014,-70.015198,Aruba
Flamingo International Airport,12.131,-68.268501,Caribbean Netherlands
Hato International Airport,12.1889,-68.959801,Curaçao
Princess Juliana International Airport,18.041,-63.108898,Sint Maarten
Almaty International Airport,43.354267,77.042828,Kazakhstan
Nursultan Nazarbayev International Airport,51.027035,71.467094,Kazakhstan
Manas International Airport,43.061298,74.4776,Kyrgyzstan
Heydar Aliyev International Airport,40.46749877929688,50.04669952392578,Azerbaijan
Zvartnots International Airport,40.1473007202,44.3959007263,Armenia
Tbilisi International Airport,41.669201,44.9547,Georgia
Vladivostok International Airport,43.396256,132.148155,Russian Federation
Boryspil International Airport,50.345001,30.894699,Ukraine
Lviv International Airport,49.8125,23.9561,Ukraine
Pulkovo Airport,59.800301,30.262501,Russian Federation
Minsk National Airport,53.888071,28.039964,Belarus
Krasnoyarsk International Airport,56.173077,92.492437,Russian Federation
Novosibirsk Tolmachevo Airport,55.019756,82.618675,Russian Federation
Platov International Airport,47.493888,39.924722,Russian Federation
Sochi International Airport,43.449902,39.9566,Russian Federation
Koltsovo Airport,56.743099212646,60.802700042725,Russian Federation
Ashgabat International Airport,37.986801,58.361,Turkmenistan
Tashkent International Airport,41.2579,69.281197,Uzbekistan
Zhukovsky International Airport,55.553299,38.150002,Russian Federation
Domodedovo International Airport,55.408798,37.9063,Russian Federation
Sheremetyevo International Airport,55.972599,37.4146,Russian Federation
Vnukovo International Airport,55.591499,37.261501,Russian Federation
Kazan International Airport,55.606201,49.278702,Russian Federation
Gagarin International Airport,51.712778,46.171111,Russian Federation
Ufa International Airport,54.557498931885,55.874401092529,Russian Federation
Kurumoch International Airport,53.504902,50.164299,Russian Federation
Chhatrapati Shivaji International Airport,19.0886993408,72.8678970337,India
Rajkot International Airport,22.378824,71.039391,India
Bandaranaike International Colombo Airport,7.180759906768799,79.88410186767578,Sri Lanka
Mattala Rajapaksa International Airport,6.284467,81.124128,Sri Lanka
Phnom Penh International Airport,11.5466,104.844002,Cambodia
Siem Reap-Angkor International Airport,13.369167,104.223056,Cambodia
Netaji Subhash Chandra Bose International Airport,22.654699,88.446701,India
Hazrat Shahjalal International Airport,23.843347,90.397783,Bangladesh
Hong Kong International Airport,22.308901,113.915001,Hong Kong
Indira Gandhi International Airport,28.55563,77.09519,India
Macau International Airport,22.149599,113.592003,Macau
Tribhuvan International Airport,27.6966,85.3591,Nepal
Kempegowda International Airport,13.1979,77.706299,India
Cochin International Airport,10.151047,76.400838,India
Manohar International Airport,15.744257,73.860625,India
Dabolim Airport,15.3808,73.831398,India
Rajiv Gandhi International Airport,17.231318,78.429855,India
Chennai International Airport,12.990005,80.169296,India
Thiruvananthapuram International Airport,8.48212,76.920097,India
Malé International Airport,4.191830158233643,73.52909851074219,Maldives
Don Mueang International Airport,13.9126,100.607002,Thailand
Suvarnabhumi Airport,13.6811,100.747002,Thailand
Chiang Mai International Airport,18.7667999268,98.962600708,Thailand
Phuket International Airport,8.1132,98.316902,Thailand
Noi Bai International Airport,21.221201,105.806999,Vietnam
Tan Son Nhat International Airport,10.8188,106.652,Vietnam
Mandalay International Airport,21.70219993591309,95.97789764404295,"Myanmar, (Burma)"
Yangon International Airport,16.907300949099998,96.1332015991,"Myanmar, (Burma)"
Hasanuddin International Airport,-5.06163,119.554001,Indonesia
